2023/11/28 03:14:43 PM > episode 1 done. reward=37.0 | episode_steps=37 | hours=0.000 | epsilon=0.998
2023/11/28 03:14:44 PM > episode 2 done. reward=38.0 | episode_steps=38 | hours=0.001 | epsilon=0.997
2023/11/28 03:14:44 PM > episode 3 done. reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.996
2023/11/28 03:14:44 PM > episode 4 done. reward=14.0 | episode_steps=14 | hours=0.001 | epsilon=0.996
2023/11/28 03:14:45 PM > episode 5 done. reward=20.0 | episode_steps=20 | hours=0.001 | epsilon=0.995
2023/11/28 03:14:45 PM > episode 6 done. reward=10.0 | episode_steps=10 | hours=0.001 | epsilon=0.994
2023/11/28 03:14:45 PM > episode 7 done. reward=13.0 | episode_steps=13 | hours=0.001 | epsilon=0.994
2023/11/28 03:14:46 PM > episode 8 done. reward=16.0 | episode_steps=16 | hours=0.001 | epsilon=0.993
2023/11/28 03:14:46 PM > episode 9 done. reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.992
2023/11/28 03:14:46 PM > episode 10 done. reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.992
2023/11/28 03:14:46 PM > episode 11 done. reward=10.0 | episode_steps=10 | hours=0.001 | epsilon=0.991
2023/11/28 03:14:46 PM > episode 12 done. reward=9.0 | episode_steps=9 | hours=0.001 | epsilon=0.991
2023/11/28 03:14:47 PM > episode 13 done. reward=12.0 | episode_steps=12 | hours=0.001 | epsilon=0.990
2023/11/28 03:14:47 PM > episode 14 done. reward=13.0 | episode_steps=13 | hours=0.001 | epsilon=0.990
2023/11/28 03:14:47 PM > episode 15 done. reward=12.0 | episode_steps=12 | hours=0.002 | epsilon=0.989
2023/11/28 03:14:47 PM > episode 16 done. reward=8.0 | episode_steps=8 | hours=0.002 | epsilon=0.989
2023/11/28 03:14:48 PM > episode 17 done. reward=12.0 | episode_steps=12 | hours=0.002 | epsilon=0.988
