2023/11/28 09:21:09 PM > episode 1 done. reward=37.0 | episode_steps=37 | hours=0.001 | epsilon=0.998
2023/11/28 09:21:20 PM > episode 30 done. reward=10.0 | episode_steps=10 | hours=0.004 | epsilon=0.974
2023/11/28 09:21:21 PM > episode 31 done. reward=10.0 | episode_steps=10 | hours=0.004 | epsilon=0.973
2023/11/28 09:21:21 PM > episode 32 done. reward=9.0 | episode_steps=9 | hours=0.004 | epsilon=0.973
2023/11/28 09:21:21 PM > episode 33 done. reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.972
2023/11/28 09:21:21 PM > episode 34 done. reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.972
2023/11/28 09:21:21 PM > episode 35 done. reward=9.0 | episode_steps=9 | hours=0.004 | epsilon=0.972
2023/11/28 09:21:22 PM > episode 36 done. reward=26.0 | episode_steps=26 | hours=0.004 | epsilon=0.970
2023/11/28 09:21:23 PM > episode 37 done. reward=28.0 | episode_steps=28 | hours=0.004 | epsilon=0.969
2023/11/28 09:21:23 PM > episode 38 done. reward=14.0 | episode_steps=14 | hours=0.004 | epsilon=0.969
2023/11/28 09:21:23 PM > episode 39 done. reward=18.0 | episode_steps=18 | hours=0.004 | epsilon=0.968
2023/11/28 09:21:24 PM > episode 40 done. reward=15.0 | episode_steps=15 | hours=0.005 | epsilon=0.967
2023/11/28 09:21:24 PM > episode 41 done. reward=14.0 | episode_steps=14 | hours=0.005 | epsilon=0.967
2023/11/28 09:21:24 PM > episode 42 done. reward=15.0 | episode_steps=15 | hours=0.005 | epsilon=0.966
2023/11/28 09:21:24 PM > episode 43 done. reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.965
2023/11/28 09:21:25 PM > episode 44 done. reward=10.0 | episode_steps=10 | hours=0.005 | epsilon=0.965
2023/11/28 09:21:25 PM > episode 45 done. reward=10.0 | episode_steps=10 | hours=0.005 | epsilon=0.965
2023/11/28 09:21:25 PM > episode 46 done. reward=19.0 | episode_steps=19 | hours=0.005 | epsilon=0.964
2023/11/28 09:21:25 PM > episode 47 done. reward=12.0 | episode_steps=12 | hours=0.005 | epsilon=0.963
2023/11/28 09:21:26 PM > episode 48 done. reward=48.0 | episode_steps=48 | hours=0.005 | epsilon=0.961
2023/11/28 09:21:27 PM > episode 49 done. reward=9.0 | episode_steps=9 | hours=0.005 | epsilon=0.961
2023/11/28 09:21:27 PM > episode 50 done. reward=14.0 | episode_steps=14 | hours=0.005 | epsilon=0.960
2023/11/28 09:21:27 PM > episode 51 done. reward=11.0 | episode_steps=11 | hours=0.006 | epsilon=0.960
2023/11/28 09:21:27 PM > episode 52 done. reward=13.0 | episode_steps=13 | hours=0.006 | epsilon=0.959
2023/11/28 09:21:28 PM > episode 53 done. reward=16.0 | episode_steps=16 | hours=0.006 | epsilon=0.958
2023/11/28 09:21:28 PM > episode 54 done. reward=30.0 | episode_steps=30 | hours=0.006 | epsilon=0.957
2023/11/28 09:21:29 PM > episode 55 done. reward=23.0 | episode_steps=23 | hours=0.006 | epsilon=0.956
2023/11/28 09:21:29 PM > episode 56 done. reward=16.0 | episode_steps=16 | hours=0.006 | epsilon=0.955
2023/11/28 09:21:29 PM > episode 57 done. reward=15.0 | episode_steps=15 | hours=0.006 | epsilon=0.955
2023/11/28 09:21:30 PM > episode 58 done. reward=10.0 | episode_steps=10 | hours=0.006 | epsilon=0.954
2023/11/28 09:21:30 PM > episode 59 done. reward=22.0 | episode_steps=22 | hours=0.006 | epsilon=0.953
2023/11/28 09:21:30 PM > episode 60 done. reward=15.0 | episode_steps=15 | hours=0.006 | epsilon=0.953
2023/11/28 09:21:31 PM > episode 61 done. reward=29.0 | episode_steps=29 | hours=0.007 | epsilon=0.952
2023/11/28 09:21:32 PM > episode 62 done. reward=35.0 | episode_steps=35 | hours=0.007 | epsilon=0.950
2023/11/28 09:21:32 PM > episode 63 done. reward=12.0 | episode_steps=12 | hours=0.007 | epsilon=0.950
2023/11/28 09:21:32 PM > episode 64 done. reward=17.0 | episode_steps=17 | hours=0.007 | epsilon=0.949
2023/11/28 09:21:33 PM > episode 65 done. reward=26.0 | episode_steps=26 | hours=0.007 | epsilon=0.948
2023/11/28 09:21:33 PM > episode 66 done. reward=14.0 | episode_steps=14 | hours=0.007 | epsilon=0.947
2023/11/28 09:21:34 PM > episode 67 done. reward=29.0 | episode_steps=29 | hours=0.007 | epsilon=0.946
2023/11/28 09:21:34 PM > episode 68 done. reward=10.0 | episode_steps=10 | hours=0.007 | epsilon=0.946
2023/11/28 09:21:34 PM > episode 69 done. reward=10.0 | episode_steps=10 | hours=0.007 | epsilon=0.945
2023/11/28 09:21:34 PM > episode 70 done. reward=18.0 | episode_steps=18 | hours=0.008 | epsilon=0.944
2023/11/28 09:21:35 PM > episode 71 done. reward=31.0 | episode_steps=31 | hours=0.008 | epsilon=0.943
2023/11/28 09:21:35 PM > episode 72 done. reward=13.0 | episode_steps=13 | hours=0.008 | epsilon=0.942
2023/11/28 09:21:35 PM > episode 73 done. reward=10.0 | episode_steps=10 | hours=0.008 | epsilon=0.942
2023/11/28 09:21:36 PM > episode 74 done. reward=34.0 | episode_steps=34 | hours=0.008 | epsilon=0.941
2023/11/28 09:21:36 PM > episode 75 done. reward=16.0 | episode_steps=16 | hours=0.008 | epsilon=0.940
2023/11/28 09:21:37 PM > episode 76 done. reward=13.0 | episode_steps=13 | hours=0.008 | epsilon=0.939
2023/11/28 09:21:37 PM > episode 77 done. reward=11.0 | episode_steps=11 | hours=0.008 | epsilon=0.939
2023/11/28 09:21:37 PM > episode 78 done. reward=14.0 | episode_steps=14 | hours=0.008 | epsilon=0.938
2023/11/28 09:21:37 PM > episode 79 done. reward=11.0 | episode_steps=11 | hours=0.008 | epsilon=0.938
2023/11/28 09:21:38 PM > episode 80 done. reward=20.0 | episode_steps=20 | hours=0.009 | epsilon=0.937
2023/11/28 09:21:38 PM > episode 81 done. reward=20.0 | episode_steps=20 | hours=0.009 | epsilon=0.936
2023/11/28 09:21:38 PM > episode 82 done. reward=10.0 | episode_steps=10 | hours=0.009 | epsilon=0.936
2023/11/28 09:21:39 PM > episode 83 done. reward=35.0 | episode_steps=35 | hours=0.009 | epsilon=0.934
2023/11/28 09:21:40 PM > episode 84 done. reward=52.0 | episode_steps=52 | hours=0.009 | epsilon=0.932
2023/11/28 09:21:40 PM > episode 85 done. reward=12.0 | episode_steps=12 | hours=0.009 | epsilon=0.932
2023/11/28 09:21:41 PM > episode 86 done. reward=12.0 | episode_steps=12 | hours=0.009 | epsilon=0.931
2023/11/28 09:21:41 PM > episode 87 done. reward=17.0 | episode_steps=17 | hours=0.009 | epsilon=0.930
2023/11/28 09:21:41 PM > episode 88 done. reward=15.0 | episode_steps=15 | hours=0.009 | epsilon=0.930
2023/11/28 09:21:42 PM > episode 89 done. reward=23.0 | episode_steps=23 | hours=0.010 | epsilon=0.929
2023/11/28 09:21:42 PM > episode 90 done. reward=14.0 | episode_steps=14 | hours=0.010 | epsilon=0.928
2023/11/28 09:21:43 PM > episode 91 done. reward=45.0 | episode_steps=45 | hours=0.010 | epsilon=0.926
2023/11/28 09:21:43 PM > episode 92 done. reward=18.0 | episode_steps=18 | hours=0.010 | epsilon=0.926
2023/11/28 09:21:44 PM > episode 93 done. reward=44.0 | episode_steps=44 | hours=0.010 | epsilon=0.924
2023/11/28 09:21:45 PM > episode 94 done. reward=19.0 | episode_steps=19 | hours=0.010 | epsilon=0.923
2023/11/28 09:21:45 PM > episode 95 done. reward=12.0 | episode_steps=12 | hours=0.010 | epsilon=0.923
2023/11/28 09:21:46 PM > episode 96 done. reward=38.0 | episode_steps=38 | hours=0.011 | epsilon=0.921
2023/11/28 09:21:46 PM > episode 97 done. reward=24.0 | episode_steps=24 | hours=0.011 | epsilon=0.920
2023/11/28 09:21:47 PM > episode 98 done. reward=36.0 | episode_steps=36 | hours=0.011 | epsilon=0.919
2023/11/28 09:21:47 PM > episode 99 done. reward=31.0 | episode_steps=31 | hours=0.011 | epsilon=0.917
2023/11/28 09:21:48 PM > episode 100 done. reward=13.0 | episode_steps=13 | hours=0.011 | epsilon=0.917
2023/11/28 09:21:48 PM > episode 101 done. reward=16.0 | episode_steps=16 | hours=0.011 | epsilon=0.916
2023/11/28 09:21:48 PM > episode 102 done. reward=11.0 | episode_steps=11 | hours=0.011 | epsilon=0.916
2023/11/28 09:21:49 PM > episode 103 done. reward=20.0 | episode_steps=20 | hours=0.012 | epsilon=0.915
2023/11/28 09:21:49 PM > episode 104 done. reward=30.0 | episode_steps=30 | hours=0.012 | epsilon=0.914
2023/11/28 09:21:50 PM > episode 105 done. reward=20.0 | episode_steps=20 | hours=0.012 | epsilon=0.913
2023/11/28 09:21:50 PM > episode 106 done. reward=20.0 | episode_steps=20 | hours=0.012 | epsilon=0.912
2023/11/28 09:21:50 PM > episode 107 done. reward=12.0 | episode_steps=12 | hours=0.012 | epsilon=0.912
2023/11/28 09:21:51 PM > episode 108 done. reward=14.0 | episode_steps=14 | hours=0.012 | epsilon=0.911
2023/11/28 09:21:51 PM > episode 109 done. reward=26.0 | episode_steps=26 | hours=0.012 | epsilon=0.910
2023/11/28 09:21:51 PM > episode 110 done. reward=14.0 | episode_steps=14 | hours=0.012 | epsilon=0.909
2023/11/28 09:21:52 PM > episode 111 done. reward=15.0 | episode_steps=15 | hours=0.012 | epsilon=0.909
2023/11/28 09:21:52 PM > episode 112 done. reward=20.0 | episode_steps=20 | hours=0.012 | epsilon=0.908
2023/11/28 09:21:53 PM > episode 113 done. reward=43.0 | episode_steps=43 | hours=0.013 | epsilon=0.906
2023/11/28 09:21:53 PM > episode 114 done. reward=9.0 | episode_steps=9 | hours=0.013 | epsilon=0.906
2023/11/28 09:21:54 PM > episode 115 done. reward=22.0 | episode_steps=22 | hours=0.013 | epsilon=0.905
2023/11/28 09:21:54 PM > episode 116 done. reward=11.0 | episode_steps=11 | hours=0.013 | epsilon=0.905
2023/11/28 09:21:55 PM > episode 117 done. reward=48.0 | episode_steps=48 | hours=0.013 | epsilon=0.903
2023/11/28 09:21:55 PM > episode 118 done. reward=18.0 | episode_steps=18 | hours=0.013 | epsilon=0.902
2023/11/28 09:21:56 PM > episode 119 done. reward=30.0 | episode_steps=30 | hours=0.013 | epsilon=0.901
2023/11/28 09:21:56 PM > episode 120 done. reward=12.0 | episode_steps=12 | hours=0.014 | epsilon=0.900
2023/11/28 09:21:57 PM > episode 121 done. reward=53.0 | episode_steps=53 | hours=0.014 | epsilon=0.898
2023/11/28 09:21:58 PM > episode 122 done. reward=25.0 | episode_steps=25 | hours=0.014 | epsilon=0.897
2023/11/28 09:21:59 PM > episode 123 done. reward=44.0 | episode_steps=44 | hours=0.014 | epsilon=0.895
2023/11/28 09:21:59 PM > episode 124 done. reward=40.0 | episode_steps=40 | hours=0.015 | epsilon=0.894
2023/11/28 09:22:00 PM > episode 125 done. reward=15.0 | episode_steps=15 | hours=0.015 | epsilon=0.893
2023/11/28 09:22:00 PM > episode 126 done. reward=28.0 | episode_steps=28 | hours=0.015 | epsilon=0.892
2023/11/28 09:22:01 PM > episode 127 done. reward=20.0 | episode_steps=20 | hours=0.015 | epsilon=0.891
2023/11/28 09:22:01 PM > episode 128 done. reward=13.0 | episode_steps=13 | hours=0.015 | epsilon=0.891
2023/11/28 09:22:01 PM > episode 129 done. reward=17.0 | episode_steps=17 | hours=0.015 | epsilon=0.890
2023/11/28 09:22:02 PM > episode 130 done. reward=13.0 | episode_steps=13 | hours=0.015 | epsilon=0.890
2023/11/28 09:22:02 PM > episode 131 done. reward=17.0 | episode_steps=17 | hours=0.015 | epsilon=0.889
2023/11/28 09:22:03 PM > episode 132 done. reward=38.0 | episode_steps=38 | hours=0.015 | epsilon=0.887
2023/11/28 09:22:03 PM > episode 133 done. reward=14.0 | episode_steps=14 | hours=0.016 | epsilon=0.887
2023/11/28 09:22:03 PM > episode 134 done. reward=21.0 | episode_steps=21 | hours=0.016 | epsilon=0.886
2023/11/28 09:22:04 PM > episode 135 done. reward=29.0 | episode_steps=29 | hours=0.016 | epsilon=0.885
2023/11/28 09:22:05 PM > episode 136 done. reward=45.0 | episode_steps=45 | hours=0.016 | epsilon=0.883
2023/11/28 09:22:05 PM > episode 137 done. reward=26.0 | episode_steps=26 | hours=0.016 | epsilon=0.882
2023/11/28 09:22:06 PM > episode 138 done. reward=26.0 | episode_steps=26 | hours=0.016 | epsilon=0.881
2023/11/28 09:22:07 PM > episode 139 done. reward=41.0 | episode_steps=41 | hours=0.017 | epsilon=0.879
2023/11/28 09:22:07 PM > episode 140 done. reward=11.0 | episode_steps=11 | hours=0.017 | epsilon=0.879
2023/11/28 09:22:07 PM > episode 141 done. reward=18.0 | episode_steps=18 | hours=0.017 | epsilon=0.878
2023/11/28 09:22:08 PM > episode 142 done. reward=16.0 | episode_steps=16 | hours=0.017 | epsilon=0.878
2023/11/28 09:22:08 PM > episode 143 done. reward=21.0 | episode_steps=21 | hours=0.017 | epsilon=0.877
2023/11/28 09:22:09 PM > episode 144 done. reward=33.0 | episode_steps=33 | hours=0.017 | epsilon=0.876
2023/11/28 09:22:09 PM > episode 145 done. reward=22.0 | episode_steps=22 | hours=0.017 | epsilon=0.875
2023/11/28 09:22:10 PM > episode 146 done. reward=29.0 | episode_steps=29 | hours=0.017 | epsilon=0.874
2023/11/28 09:22:10 PM > episode 147 done. reward=30.0 | episode_steps=30 | hours=0.018 | epsilon=0.872
2023/11/28 09:22:11 PM > episode 148 done. reward=35.0 | episode_steps=35 | hours=0.018 | epsilon=0.871
2023/11/28 09:22:11 PM > episode 149 done. reward=14.0 | episode_steps=14 | hours=0.018 | epsilon=0.871
2023/11/28 09:22:12 PM > episode 150 done. reward=17.0 | episode_steps=17 | hours=0.018 | epsilon=0.870
2023/11/28 09:22:12 PM > episode 151 done. reward=15.0 | episode_steps=15 | hours=0.018 | epsilon=0.869
2023/11/28 09:22:13 PM > episode 152 done. reward=29.0 | episode_steps=29 | hours=0.018 | epsilon=0.868
2023/11/28 09:22:13 PM > episode 153 done. reward=33.0 | episode_steps=33 | hours=0.018 | epsilon=0.867
2023/11/28 09:22:14 PM > episode 154 done. reward=21.0 | episode_steps=21 | hours=0.018 | epsilon=0.866
2023/11/28 09:22:14 PM > episode 155 done. reward=16.0 | episode_steps=16 | hours=0.019 | epsilon=0.866
2023/11/28 09:22:14 PM > episode 156 done. reward=16.0 | episode_steps=16 | hours=0.019 | epsilon=0.865
2023/11/28 09:22:15 PM > episode 157 done. reward=23.0 | episode_steps=23 | hours=0.019 | epsilon=0.864
2023/11/28 09:22:15 PM > episode 158 done. reward=16.0 | episode_steps=16 | hours=0.019 | epsilon=0.863
2023/11/28 09:22:16 PM > episode 159 done. reward=39.0 | episode_steps=39 | hours=0.019 | epsilon=0.862
2023/11/28 09:22:17 PM > episode 160 done. reward=24.0 | episode_steps=24 | hours=0.019 | epsilon=0.861
2023/11/28 09:22:18 PM > episode 161 done. reward=44.0 | episode_steps=44 | hours=0.020 | epsilon=0.859
2023/11/28 09:22:18 PM > episode 162 done. reward=23.0 | episode_steps=23 | hours=0.020 | epsilon=0.859
2023/11/28 09:22:19 PM > episode 163 done. reward=70.0 | episode_steps=70 | hours=0.020 | epsilon=0.856
2023/11/28 09:22:20 PM > episode 164 done. reward=18.0 | episode_steps=18 | hours=0.020 | epsilon=0.855
2023/11/28 09:22:20 PM > episode 165 done. reward=19.0 | episode_steps=19 | hours=0.020 | epsilon=0.854
2023/11/28 09:22:21 PM > episode 166 done. reward=28.0 | episode_steps=28 | hours=0.020 | epsilon=0.853
2023/11/28 09:22:22 PM > episode 167 done. reward=54.0 | episode_steps=54 | hours=0.021 | epsilon=0.851
2023/11/28 09:22:23 PM > episode 168 done. reward=39.0 | episode_steps=39 | hours=0.021 | epsilon=0.850
2023/11/28 09:22:25 PM > episode 169 done. reward=142.0 | episode_steps=142 | hours=0.022 | epsilon=0.845
2023/11/28 09:22:26 PM > episode 170 done. reward=47.0 | episode_steps=47 | hours=0.022 | epsilon=0.843
2023/11/28 09:22:27 PM > episode 171 done. reward=15.0 | episode_steps=15 | hours=0.022 | epsilon=0.842
2023/11/28 09:22:28 PM > episode 172 done. reward=56.0 | episode_steps=56 | hours=0.022 | epsilon=0.840
2023/11/28 09:22:29 PM > episode 173 done. reward=76.0 | episode_steps=76 | hours=0.023 | epsilon=0.837
2023/11/28 09:22:30 PM > episode 174 done. reward=16.0 | episode_steps=16 | hours=0.023 | epsilon=0.837
2023/11/28 09:22:30 PM > episode 175 done. reward=16.0 | episode_steps=16 | hours=0.023 | epsilon=0.836
2023/11/28 09:22:30 PM > episode 176 done. reward=17.0 | episode_steps=17 | hours=0.023 | epsilon=0.836
2023/11/28 09:22:31 PM > episode 177 done. reward=25.0 | episode_steps=25 | hours=0.023 | epsilon=0.835
2023/11/28 09:22:33 PM > episode 178 done. reward=96.0 | episode_steps=96 | hours=0.024 | epsilon=0.831
2023/11/28 09:22:33 PM > episode 179 done. reward=22.0 | episode_steps=22 | hours=0.024 | epsilon=0.830
2023/11/28 09:22:35 PM > episode 180 done. reward=93.0 | episode_steps=93 | hours=0.024 | epsilon=0.827
2023/11/28 09:22:36 PM > episode 181 done. reward=66.0 | episode_steps=66 | hours=0.025 | epsilon=0.825
2023/11/28 09:22:40 PM > episode 182 done. reward=157.0 | episode_steps=157 | hours=0.026 | epsilon=0.819
2023/11/28 09:22:40 PM > episode 183 done. reward=32.0 | episode_steps=32 | hours=0.026 | epsilon=0.818
2023/11/28 09:22:41 PM > episode 184 done. reward=17.0 | episode_steps=17 | hours=0.026 | epsilon=0.817
2023/11/28 09:22:42 PM > episode 185 done. reward=66.0 | episode_steps=66 | hours=0.026 | epsilon=0.815
2023/11/28 09:22:43 PM > episode 186 done. reward=60.0 | episode_steps=60 | hours=0.027 | epsilon=0.813
2023/11/28 09:22:44 PM > episode 187 done. reward=49.0 | episode_steps=49 | hours=0.027 | epsilon=0.811
2023/11/28 09:22:45 PM > episode 188 done. reward=15.0 | episode_steps=15 | hours=0.027 | epsilon=0.810
2023/11/28 09:22:45 PM > episode 189 done. reward=37.0 | episode_steps=37 | hours=0.027 | epsilon=0.809
2023/11/28 09:22:46 PM > episode 190 done. reward=48.0 | episode_steps=48 | hours=0.028 | epsilon=0.807
2023/11/28 09:22:49 PM > episode 191 done. reward=135.0 | episode_steps=135 | hours=0.028 | epsilon=0.803
2023/11/28 09:22:49 PM > episode 192 done. reward=16.0 | episode_steps=16 | hours=0.028 | epsilon=0.802
2023/11/28 09:22:50 PM > episode 193 done. reward=20.0 | episode_steps=20 | hours=0.029 | epsilon=0.801
2023/11/28 09:22:50 PM > episode 194 done. reward=16.0 | episode_steps=16 | hours=0.029 | epsilon=0.801
2023/11/28 09:22:51 PM > episode 195 done. reward=57.0 | episode_steps=57 | hours=0.029 | epsilon=0.799
2023/11/28 09:22:52 PM > episode 196 done. reward=37.0 | episode_steps=37 | hours=0.029 | epsilon=0.797
2023/11/28 09:22:53 PM > episode 197 done. reward=41.0 | episode_steps=41 | hours=0.029 | epsilon=0.796
2023/11/28 09:22:53 PM > episode 198 done. reward=18.0 | episode_steps=18 | hours=0.029 | epsilon=0.795
2023/11/28 09:22:54 PM > episode 199 done. reward=39.0 | episode_steps=39 | hours=0.030 | epsilon=0.794
2023/11/28 09:22:55 PM > episode 200 done. reward=37.0 | episode_steps=37 | hours=0.030 | epsilon=0.793
2023/11/28 09:22:55 PM > episode 201 done. reward=13.0 | episode_steps=13 | hours=0.030 | epsilon=0.792
2023/11/28 09:22:56 PM > episode 202 done. reward=30.0 | episode_steps=30 | hours=0.030 | epsilon=0.791
2023/11/28 09:22:57 PM > episode 203 done. reward=85.0 | episode_steps=85 | hours=0.031 | epsilon=0.788
2023/11/28 09:23:00 PM > episode 204 done. reward=131.0 | episode_steps=131 | hours=0.031 | epsilon=0.784
2023/11/28 09:23:00 PM > episode 205 done. reward=21.0 | episode_steps=21 | hours=0.031 | epsilon=0.783
2023/11/28 09:23:02 PM > episode 206 done. reward=62.0 | episode_steps=62 | hours=0.032 | epsilon=0.781
2023/11/28 09:23:02 PM > episode 207 done. reward=30.0 | episode_steps=30 | hours=0.032 | epsilon=0.780
2023/11/28 09:23:04 PM > episode 208 done. reward=86.0 | episode_steps=86 | hours=0.032 | epsilon=0.777
2023/11/28 09:23:04 PM > episode 209 done. reward=27.0 | episode_steps=27 | hours=0.033 | epsilon=0.776
2023/11/28 09:23:06 PM > episode 210 done. reward=95.0 | episode_steps=95 | hours=0.033 | epsilon=0.773
2023/11/28 09:23:09 PM > episode 211 done. reward=104.0 | episode_steps=104 | hours=0.034 | epsilon=0.770
2023/11/28 09:23:09 PM > episode 212 done. reward=19.0 | episode_steps=19 | hours=0.034 | epsilon=0.769
2023/11/28 09:23:10 PM > episode 213 done. reward=52.0 | episode_steps=52 | hours=0.034 | epsilon=0.767
2023/11/28 09:23:11 PM > episode 214 done. reward=45.0 | episode_steps=45 | hours=0.034 | epsilon=0.766
2023/11/28 09:23:12 PM > episode 215 done. reward=49.0 | episode_steps=49 | hours=0.035 | epsilon=0.764
2023/11/28 09:23:14 PM > episode 216 done. reward=110.0 | episode_steps=110 | hours=0.035 | epsilon=0.760
2023/11/28 09:23:15 PM > episode 217 done. reward=49.0 | episode_steps=49 | hours=0.036 | epsilon=0.759
2023/11/28 09:23:17 PM > episode 218 done. reward=93.0 | episode_steps=93 | hours=0.036 | epsilon=0.756
2023/11/28 09:23:19 PM > episode 219 done. reward=115.0 | episode_steps=115 | hours=0.037 | epsilon=0.752
2023/11/28 09:23:20 PM > episode 220 done. reward=16.0 | episode_steps=16 | hours=0.037 | epsilon=0.751
2023/11/28 09:23:20 PM > episode 221 done. reward=20.0 | episode_steps=20 | hours=0.037 | epsilon=0.751
2023/11/28 09:23:20 PM > episode 222 done. reward=12.0 | episode_steps=12 | hours=0.037 | epsilon=0.750
2023/11/28 09:23:21 PM > episode 223 done. reward=22.0 | episode_steps=22 | hours=0.037 | epsilon=0.750
2023/11/28 09:23:23 PM > episode 224 done. reward=101.0 | episode_steps=101 | hours=0.038 | epsilon=0.746
2023/11/28 09:23:23 PM > episode 225 done. reward=13.0 | episode_steps=13 | hours=0.038 | epsilon=0.746
2023/11/28 09:23:23 PM > episode 226 done. reward=13.0 | episode_steps=13 | hours=0.038 | epsilon=0.746
2023/11/28 09:23:24 PM > episode 227 done. reward=36.0 | episode_steps=36 | hours=0.038 | epsilon=0.744
2023/11/28 09:23:24 PM > episode 228 done. reward=20.0 | episode_steps=20 | hours=0.038 | epsilon=0.744
2023/11/28 09:23:26 PM > episode 229 done. reward=70.0 | episode_steps=70 | hours=0.039 | epsilon=0.741
2023/11/28 09:23:27 PM > episode 230 done. reward=75.0 | episode_steps=75 | hours=0.039 | epsilon=0.739
2023/11/28 09:23:30 PM > episode 231 done. reward=122.0 | episode_steps=122 | hours=0.040 | epsilon=0.735
2023/11/28 09:23:30 PM > episode 232 done. reward=27.0 | episode_steps=27 | hours=0.040 | epsilon=0.734
2023/11/28 09:23:31 PM > episode 233 done. reward=42.0 | episode_steps=42 | hours=0.040 | epsilon=0.733
2023/11/28 09:23:32 PM > episode 234 done. reward=67.0 | episode_steps=67 | hours=0.040 | epsilon=0.731
2023/11/28 09:23:34 PM > episode 235 done. reward=71.0 | episode_steps=71 | hours=0.041 | epsilon=0.729
2023/11/28 09:23:34 PM > episode 236 done. reward=26.0 | episode_steps=26 | hours=0.041 | epsilon=0.728
2023/11/28 09:23:35 PM > episode 237 done. reward=19.0 | episode_steps=19 | hours=0.041 | epsilon=0.727
2023/11/28 09:23:36 PM > episode 238 done. reward=40.0 | episode_steps=40 | hours=0.041 | epsilon=0.726
2023/11/28 09:23:38 PM > episode 239 done. reward=121.0 | episode_steps=121 | hours=0.042 | epsilon=0.722
2023/11/28 09:23:39 PM > episode 240 done. reward=22.0 | episode_steps=22 | hours=0.042 | epsilon=0.722
2023/11/28 09:23:39 PM > episode 241 done. reward=37.0 | episode_steps=37 | hours=0.042 | epsilon=0.720
2023/11/28 09:23:40 PM > episode 242 done. reward=37.0 | episode_steps=37 | hours=0.042 | epsilon=0.719
2023/11/28 09:23:41 PM > episode 243 done. reward=33.0 | episode_steps=33 | hours=0.043 | epsilon=0.718
2023/11/28 09:23:42 PM > episode 244 done. reward=47.0 | episode_steps=47 | hours=0.043 | epsilon=0.717
