2023/12/16 02:07:03 PM > episode 1 done. reward=37.0 | episode_steps=37 | hours=0.000 | epsilon=0.998
2023/12/16 02:07:04 PM > episode 2 done. reward=33.0 | episode_steps=33 | hours=0.001 | epsilon=0.997
2023/12/16 02:07:05 PM > episode 3 done. reward=50.0 | episode_steps=50 | hours=0.001 | epsilon=0.995
2023/12/16 02:07:05 PM > episode 4 done. reward=14.0 | episode_steps=14 | hours=0.001 | epsilon=0.994
2023/12/16 02:07:06 PM > episode 5 done. reward=24.0 | episode_steps=24 | hours=0.001 | epsilon=0.993
2023/12/16 02:07:07 PM > episode 6 done. reward=63.0 | episode_steps=63 | hours=0.001 | epsilon=0.990
2023/12/16 02:07:08 PM > episode 7 done. reward=27.0 | episode_steps=27 | hours=0.002 | epsilon=0.989
2023/12/16 02:07:08 PM > episode 8 done. reward=23.0 | episode_steps=23 | hours=0.002 | epsilon=0.988
2023/12/16 02:07:08 PM > episode 9 done. reward=10.0 | episode_steps=10 | hours=0.002 | epsilon=0.987
2023/12/16 02:07:09 PM > episode 10 done. reward=20.0 | episode_steps=20 | hours=0.002 | epsilon=0.987
2023/12/16 02:07:09 PM > episode 11 done. reward=12.0 | episode_steps=12 | hours=0.002 | epsilon=0.986
2023/12/16 02:07:09 PM > episode 12 done. reward=13.0 | episode_steps=13 | hours=0.002 | epsilon=0.985
2023/12/16 02:07:09 PM > episode 13 done. reward=13.0 | episode_steps=13 | hours=0.002 | epsilon=0.985
2023/12/16 02:07:10 PM > episode 14 done. reward=15.0 | episode_steps=15 | hours=0.002 | epsilon=0.984
2023/12/16 02:07:10 PM > episode 15 done. reward=23.0 | episode_steps=23 | hours=0.002 | epsilon=0.983
2023/12/16 02:07:11 PM > episode 16 done. reward=54.0 | episode_steps=54 | hours=0.003 | epsilon=0.981
2023/12/16 02:07:12 PM > episode 17 done. reward=51.0 | episode_steps=51 | hours=0.003 | epsilon=0.979
2023/12/16 02:07:13 PM > episode 18 done. reward=27.0 | episode_steps=27 | hours=0.003 | epsilon=0.977
2023/12/16 02:07:13 PM > episode 19 done. reward=28.0 | episode_steps=28 | hours=0.003 | epsilon=0.976
2023/12/16 02:07:14 PM > episode 20 done. reward=29.0 | episode_steps=29 | hours=0.003 | epsilon=0.975
2023/12/16 02:07:15 PM > episode 21 done. reward=23.0 | episode_steps=23 | hours=0.004 | epsilon=0.974
2023/12/16 02:07:15 PM > episode 22 done. reward=30.0 | episode_steps=30 | hours=0.004 | epsilon=0.973
2023/12/16 02:07:15 PM > episode 23 done. reward=12.0 | episode_steps=12 | hours=0.004 | epsilon=0.972
2023/12/16 02:07:16 PM > episode 24 done. reward=22.0 | episode_steps=22 | hours=0.004 | epsilon=0.971
2023/12/16 02:07:16 PM > episode 25 done. reward=17.0 | episode_steps=17 | hours=0.004 | epsilon=0.970
2023/12/16 02:07:17 PM > episode 26 done. reward=17.0 | episode_steps=17 | hours=0.004 | epsilon=0.970
2023/12/16 02:07:17 PM > episode 27 done. reward=20.0 | episode_steps=20 | hours=0.004 | epsilon=0.969
2023/12/16 02:07:17 PM > episode 28 done. reward=11.0 | episode_steps=11 | hours=0.004 | epsilon=0.968
2023/12/16 02:07:17 PM > episode 29 done. reward=14.0 | episode_steps=14 | hours=0.004 | epsilon=0.968
